Borough,Latitude,Longitude
Adalar,40.8619,29.1208
Arnavutkoy,41.1956,28.7352
Atasehir,40.9831,29.1279
Avcilar,40.988,28.717
Bagcilar,41.045,28.8338
Bahcelievler,40.9976,28.85
Bakirkoy,40.9835,28.8679
Basaksehir,41.0969,28.7718
Bayrampasa,41.0477,28.8992
Besiktas,41.0469,29.0078
Beykoz,41.0936,29.0879
Beylikduzu,40.9847,28.6425
Beyoglu,41.03,28.9748
BuyukCekmece,41.0198,28.5664
Catalca,41.1428,28.4616
Cekmekoy,41.0423,29.1778
Esenler,41.054,28.8722
Esenyurt,41.0316,28.6622
Eyup,41.0547,28.9343
Fatih,41.0145,28.9486
Gaziosmanpasa,41.0624,28.9116
Gungoren,41.0207,28.8748
Kadikoy,40.989,29.0337
Kagithane,41.0856,28.9817
Kartal,40.9073,29.2084
KuCukCekmece,41.0022,28.7856
Maltepe,40.9256,29.1305
Pendik,40.8841,29.2511
Sancaktepe,40.9911,29.2276
Sariyer,41.1649,29.0458
Silivri,41.0691,28.2544
Sultanbeyli,40.9646,29.2732
Sultangazi,41.1022,28.8735
Sile,41.1728,29.6139
Sisli,41.0595,28.9879
Tuzla,40.8268,29.3028
Umraniye,41.0345,29.1002
Uskudar,41.0242,29.0199
Zeytinburnu,40.9903,28.8961
